(Кобылинский Л.Л.) Эллис
(Шполянский А.П.) Дон-Аминадо
dubium
А.К. Толстой
Зив О.
Злобин В.А.
Золотухин Г.И.
Зоргенфрей В.А.
Иванов В.И.
Иванов В.И. | dubium
Иванов Г.В.
Иванов Ф.Ф.
Иваск Ю.П.
Ивнев Р. (Ковалев М.А.)
Иволгин А.Н.
Игнатьев И.В.
Измайлов А.Е.
Илличевский А.Д.
Ильин М.И. (Тэ М.)
Ильина В.В.
Ильинский О.П.
Имрэй М.Н.
Инбер В.М.
Иртель П.М.
К.Р. (Романов К.К.)
Казаков В.В.
Казин В.В.
Кайсаров А.С.
Калинников И.Ф.
Каменев Г.П.
Кантемир А. Д.
Капнист В.В.
Карабанов П.М.
Карабчиевский Ю.А.
Карамзин Н. М.
Кармазинский Н.
Карпов П.И.
Касим А.
Катаев В.П.
Катанян В.А.
Катарыгин П.А.
Катенин П. А.
Катенин П.А.
Кедрин Д.Б.
Кельберин Л.И.
Киреевский И. В.
Кириллов В.Т.
Кирсанов С.И.
Киссин С.В.
Кленовский Д.И.
Клушин А.И.
Клычков С.А.
Клюев Н.А.
Ключарев Ф.П.
Кнорринг И.Н.
Кнут Д. (Фиксман Д.М.)
Княжнин Я.Б.
Князев В.В.
Ковалевский В.А.
Кованько И.А.
Ковынев Б.К.
Козельский Ф.Я.
Козлов В.И.
Козлов И. И.
Козловский Ф.А.
Козодавлев О.П.
Козырев М.А.
Кокорин П.М.
Колбасьев С.А.
Колоколов Н.
Колосова М. (Покровская Р.И.)
Колычев Е.А.
Кольцов А. В.
Комаровский В.А.
Комиссарова М.
Кондратьев А.А.
Коневской И.
Кони Ф.А.
Коншин Н.М.
Кораблинов В.А.
Корвин-Пиотровский В.Л.
Коренев Г.
Коринфский А.А.
Корнилов Б.П.
Коробов Я.Е.
Корсаков П.А.
Костров Е.И.
Коц А.Я.
Крайский А.П.
Крандиевская Н.В.
Красный (Антипов К.М.)
Красовицкий С.Я.
Красовский В.И.
Крестовский В.В.
Крешев И.П.
Кржижановский Г.М.
Кржижановский С.Д.
Кривич (Анненский) В.И.
Криницкая О.М.
Кролик Ф.
Кроль Н.И.
Кропивницкий Е.Л.
Кроткова Х.П.
Крылов А.А.
Крылов И.А.
Крюков А.П.
Крючков Д.А.
Кудрейко А.А.
Кузмин М.А.
Кузнецов Н.А.
Кузнецова Г.Н.
Кукольник Н.В.
Курдюмов В.В.
Курочкин В.С.
Курочкин Н.С.
Кусиков А.Б.
Кусков П.А.
Кушнер Б.А.
Кюхельбекер В. К.
Кюхельбекер В.К
Кюхельбекер В.К.
Лавренев Б.А.
Лавров Л.А
Ладинский А.П.
Лапин Б.М.
Лафинов И.Б.
Легкая И.
Ленкевич Ф.И.
Леонов А.
Леонов М.Л.
Лепок Н.
Лермонтов М. Ю.
Лермонтов М.Ю.
Лившиц Б.К.
Липавский Л.С.
Липкин С.И.
Липскеров К.А.
Лозина-Лозинский А.К.
Лозинский М.Л.
Ломан Н.Л.
Ломоносов М. В.
Лопатто М.И.
Лохвицкая М.
Луговской В.А.
Лукьянов А.А.
Луначарский А.В.
Львов Н.А.
Львов Ф.П.
Львова Н.Г.
Льдов К.Н.
Лялечкин И.О.
М.Ю. Лермонтов
Магницкая А.Л.
Магницкая Н.Л.
Магницкий М.Л.
Майзельс Д.Л.
Майков А.Н.
Майков В.И.
Макаров А.
Маккавейский В.Н.
Маковский С.К.
Максимович А.
Максимович И.П.
