"","City","lon","lat"
"189","хива",60.363889,41.378333
"190","елабуга",52.033333,55.766667
"191","колпино",30.6,59.75
"192","гомель",30.983333,52.441667
"193","кремона",10.033333,45.133333
"194","лешак",20.7428,43.1667
"195","синоп",35.15,42.033333
"196","мангазея",82.254444,66.693333
"197","звенигород",36.85,55.733333
"198","палермо",13.366667,38.116667
"199","триест",13.8,45.633333
"200","хиросима",132.455278,34.385278
"201","баден-баден",8.240833,48.761944
"202","воркута",64.033333,67.5
"203","веллингтон",174.777222,-41.288889
"204","вытегра",36.45,61
"205","руза",36.194417,55.699767
"206","погребец",31.922778,50.884444
"207","братск",101.6,56.116667
"208","винница",28.466667,49.233333
"209","бердичев",28.6,49.891944
"210","дербент",48.295833,42.069167
"211","таруса",37.183333,54.716667
"212","моздок",44.649983,43.750017
"213","дувр",1.312222,51.1275
"214","валансьен",3.523333,50.358056
"215","мурманск",33.083333,68.966667
"216","реймс",4.029444,49.265833
"217","нанкин",118.766667,32.05
"218","оксфорд",-1.257778,51.751944
"219","мотня",107.715,50.679167
"220","чистополь",50.633333,55.366667
"221","ишим",69.5,56.116667
"222","берн",7.438611,46.950833
"223","караганда",73.116667,49.8
"224","брюгге",3.22,51.209444
"225","кашира",38.15,54.833333
"226","адлер",39.916111,43.433611
"227","белгород",36.6,50.6
"228","веймар",11.316667,50.983333
"229","мантуя",10.8,45.166667
"230","екатеринбург",60.583333,56.833333
"231","аддис-абеба",38.726911,8.993335
"232","петропавловск",69.140833,54.862222
"233","лукка",10.516667,43.85
"234","потсдам",13.066667,52.4
"235","якутск",129.731944,62.027222
"236","почаев",25.497748,50.007861
"237","кременец",25.735096,50.097451
"238","стрельна",30.059722,59.853611
"239","сидней",151.208333,-33.869444
"240","мцхета",44.716667,41.85
"241","елец",38.466667,52.616667
"242","орлеан",1.905,47.903056
"243","падуя",11.866667,45.416667
"244","каррара",10.1,44.083333
"245","тулуза",1.442778,43.605278
"246","луцк",25.324444,50.747778
"247","пушкино",37.85,56.016667
"248","кременчуг",33.423889,49.0775
"249","ливерпуль",-3,53.416667
"250","алма-ата",76.9,43.25
"251","гранада",-3.600833,37.178056
"252","черкесск",42.0575,44.216389
"253","олонец",32.966667,60.983333
"254","фастов",29.918056,50.074722
"255","ленкорань",48.851111,38.753611
"256","алупка",34.043056,44.419722
"257","карс",43.093056,40.606944
"258","чердынь",56.483333,60.4
"259","гавр",0.1,49.49
"260","анапа",37.316667,44.894444
"261","хабаровск",135.066667,48.483333
"262","юрьевец",43.1,57.316667
"263","иза",23.328611,48.213889
"264","шуша",46.75,39.75
"265","анкона",13.516667,43.616667
"266","спа",5.866667,50.5
"267","калиш",18.08,51.7575
"268","суэц",32.533333,29.966667
"269","балаклава",33.6,44.5
"270","алушта",34.397778,44.667222
"271","гент",3.716667,51.05
"272","мехико",-99.145556,19.419444
"273","ереван",44.516667,40.183333
"274","теберда",41.75,43.45
"275","днепропетровск",35.018155,48.466601
"276","давос",9.833056,46.799722
"277","дмитров",37.521667,56.346667
"278","авиньон",4.816944,43.95
"279","ареццо",11.883333,43.466667
"280","микены",22.756111,37.730556
"281","ковентри",-1.516667,52.416667
"282","эссен",7.016667,51.45
"283","зарайск",38.883611,54.765278
"284","туапсе",39.083333,44.1
"285","кисловодск",42.724444,43.903333
"286","рыльск",34.683333,51.566667
"287","познань",17,52.333333
"288","бремен",8.808889,53.076944
"289","новосибирск",82.916667,55.016667
"290","ирбит",63.066667,57.666667
"291","люцерн",8.3,47.049722
"292","обоянь",36.276389,51.211111
"293","феодосия",35.379167,45.048889
"294","сестрорецк",29.966667,60.1
"295","можайск",36.033333,55.5
"296","глухов",33.907781,51.676458
"297","тетюши",48.833333,54.933333
"298","ореанда",34.136111,44.458333
"299","нарзанный",42.751667,43.866944
"300","верхотурье",60.8,58.866667
"301","дубна",37.15,56.75
"302","новочеркасск",40.098611,47.435833
"303","ахен",6.1,50.766667
"304","энзели",49.466667,37.466667
"305","льгов",35.266667,51.666667
"306","виши",3.426667,46.127778
"307","копенгаген",12.583333,55.686944
"308","берген",5.323333,60.3925
"309","дивеево",43.2325,55.045833
"310","глазго",-4.27,55.87
"311","милет",27.275278,37.511389
"312","гавана",-82.383333,23.116667
"313","бийск",85.166667,52.516667
"314","хив",47.928611,41.753333
"315","варна",27.916667,43.216667
"316","владикавказ",44.65,43.016667
"317","йорк",-1.083333,53.95
"318","икша",37.5,56.172222
